question,answer,image_urls
"Would you consider shifting to plant-based meats? If not, why?","I've shifted more toward plant-based protein since the start of the pandemic. I really like Beyond Burgers, and the fake chicken substitutes that aren't wheat-based are good, too. I even liked the fake jerky that Beyond or Impossible put out. I don't think people should be compelled to eat these. However, I think more people should try them. I am also looking forward to lab-grown meats. The environmental advantage is enormous, but that's not why I eat them. I genuinely like them, they have health benefits, and foodborne illness is a much smaller problem. I really encourage people to call them ""plant-based protein"". There are numerous people who get their brains in knots when they hear ""meat"" referring to anything other than what comes from animals (apparently they've never heard of nuts and might put milk of magnesia in their coffee), and many people don't like the starchy old veggie burger style ""fake meat"".",['https://qph.cf2.quoracdn.net/main-thumb-82190676-50-hpbcojxbqptzegitxewnphutpyatvsll.jpeg']
When are we getting meatless chicken sandwiches?,"Depending on where you live, you may be able to have a meatless chicken substitute sandwich right now. They’re available in the US where I live. How it will taste is a personal choice. If I didn’t want chicken in my chicken sandwich, I would ask for extra lettuce, tomato, cheese and bacon, and leave out the chicken.",['https://qph.cf2.quoracdn.net/main-thumb-21023187-50-sitfjczihxfyenwbiujzsdpdeoglwxfy.jpeg']
Is Chicken Parmigiana considered kosher?,"When it comes to kashrut (Jewish dietary law), birds are classified as meat. This means that the separation of meat and dairy applies to chicken. So no, chicken parmigiana, when made with real cheese, is not kosher. Now, if you're really craving chicken parmigiana, the best option is to switch out the cheese with one of the newer non-dairy cheese alternatives. Right now, the best option is the Daiya brand fake cheeses which look, taste, and behave like real cheese (please note that I am in no way affiliated with this company, I just enjoy making things like kosher Reubens). Alternatively, you can use real cheese and one of the various kosher soy chicken patties that are available. Personally, I prefer subbing the cheese. Note: There are a number of kosher l’Pesach breadcrumb substitutes on the market and some fantastic GF ones. Unfortunately, there aren't any cheese or chicken substitutes available for Pesach.",['https://qph.cf2.quoracdn.net/main-thumb-3606381-50-wgaluedxzljwhbcqvxbuprkepjculiiy.jpeg']
What is your favorite vegan chicken substitute?,Beyond Meat makes a wonderful product that is a dead ringer for strips of chicken breast called “Beyond Chicken”. I highly recommend it. It tastes and feels more like chicken than any other product I’ve had. My only complaint would be that the product is slightly too firm. Beyond Meat - The Future of Protein™,['https://qph.cf2.quoracdn.net/main-thumb-8358862-50-S58OlFOtU1g7ecId4jVsARj5qPP4SqbO.jpeg']
"If it looks like tuna, smells like tuna, and tastes like tuna, shouldn't we be praising Subway for inventing a tuna substitute that is so like tuna? Why are they being sued instead?","It’s because, honesty! Trust in advertising. Calling it “Beyond tuna” would be acceptable. People need to know. Here are a couple of examples. When my first son was about 2 or 3, I was at my sister’s house. She was on a vegetarian kick, and she made a “chicken loaf.” Well, that seemed fine, but my son broke out all over his head and face! I asked her what was in it, so she showed me the can from Loma Linda foods. Chicken substitute with some other crap in it. I gave him some baking soda in water and that fixed up the breakout, but people need to know what they are eating. Many years ago I read about a young man who had so many food allergies, he was finally down to a short list of what he could eat. I remember tuna being on the list. He could eat tuna. Eating a tuna substitute might have put him in the hospital. The last several years I didn’t eat their tuna subs anymore. It just wasn’t the same taste. People just want to know what they are eating. For real, for real.",['https://qph.cf2.quoracdn.net/main-thumb-125197960-50-blnkxgktyoxcdgtbwgysepmwoijqsnfo.jpeg']
Is chicken noodle soup vegan?,"I mean, if it’s a chicken substitute with vegetable broth, then it could be.",['https://qph.cf2.quoracdn.net/main-thumb-89639147-50-obzwtqvckqjdbxtmccjdfiwefoksooqv.jpeg']
How is mock chicken made?,"A couple months ago the “interwebs” were abuzz with news of a chicken substitute, or what the Huffington Post called vegetarian chicken. I prefer “mock chicken” because “vegetarian chicken” sounds like a chicken who eats a vegetarian diet, but whatever. Time did the main story about a researcher at the University of Missouri, Fu-Hung Hsieh, who has come up with a heavily processed but extremely chicken-like product derived from, you guessed it, soy and wheat.",['https://qph.cf2.quoracdn.net/main-thumb-251850349-50-gshvzsbafmfngnlbhzphsvwbzcelngtd.jpeg']
"What is the fastest way to burn fat and prevent muscle loss, via an Indian diet?","Eat clean diet. Avoid sugary and fried foods. Avoid over eating. Set an achievable goal. Don't skip your meals. Eat 1200 calories per day. Eat lean proteins like egg white and boiled chicken. Substitute snacks with veg/fruit salad, egg whites or sprouts. Continue doing cycling. You will see results.",['https://qph.cf2.quoracdn.net/main-thumb-52622400-50-lshjthmvhhvwclaoazauoklhhtojjhqi.jpeg']
Why do so many people cling to the patently false belief that imitation meat products are more expensive than actual meat products?,"“Why do so many people cling to the patently false belief that imitation meat products are more expensive than actual meat products?” Somehow, this question confuses “patently false” with “easily, demonstrably true.” I do the grocery shopping at my house and regularly buy comparable meat and imitation meat products. My kid and my lovely and talented spouse are vegetarians and I’m not. Since we try to eat the same kinds of things but can’t have exactly the same dishes, I regularly buy some kind of meat and the closest vegetarian imitation equivalent. If, say, we want to have a chicken dish, I buy both real chicken and imitation chicken. Without fail, Imitation foods are at least two to three times as expensive as the real thing, and for some of the things we prefer it’s even more so. IIRC, our preferred brand of chicken substitute costs something like six times as much as the boneless, skinless chicken breasts they emulate. Now, one can certainly construct a scenario where, say, one starts with wheat flour and nutritional yeast bought in bulk and puts in a lot of work turning that in to some kind of meat substitute and have the cost for that come out ahead of the cost of some meat if you ignore the extra effort it takes, and there are fake meats which are less expensive than some cuts of meat for which there aren’t comparable version. My wife’s veggie burgers, for example, are cheaper than filet mignon or prosciutto, but that’s almost literally comparing hamburger with filet mignon and prosciutto. Without any kind of qualification or explanation, then, the premise of this question is the patent falsehood.",['https://qph.cf2.quoracdn.net/main-thumb-59088614-50-zbouknaossobmeiykoqhptutnxvahjvl.jpeg']
What is the best vegetarian substitute for chicken breast?,"Vegetarian-Friendly Chicken Substitutes Tofu. Perhaps the most well-known chicken substitute in the world, tofu can be used in place of almost any type of meat, and is a fantastic vegetarian alternative in most meals. ... Beans and Sprouts. ... Nuts. ... Potatoes. ... Seitan.",['https://qph.cf2.quoracdn.net/main-thumb-948060945-50-bqyqolimstblkgrbgmsqozwpbpbklilx.jpeg']
