question,answer,image_urls
Can you refuse to eat at a family dinner?,"My daughter does all the time. Because her “family” refuses to take her food allergies seriously and maintain safe food practices. For example, cutting the dairy free cheesecake with the same knife that cut the pecan pie, rendering the only dessert she could eat now inedible (she’s allergic to all nuts) So, we bring McDonald’s or pizza or whatever to family dinners because it is the only way she can safely eat without worrying about dying.",['https://qph.cf2.quoracdn.net/main-thumb-405889801-50-rkduebgpqpwkvreihvofpfsyjmnsmliu.jpeg']
What did you cook during quarantine?,"I’m so excited I can finally show off some of my pictures from the last few months! Side-note I’m gluten and dairy free because I have Crohn’s disease so I eat a Pescatarian diet. Seared Salmon, Avo, asparagus and cherry tomatoes Protein coconut flour pancakes made from scratch with berries Vegetarian curry on cauliflower rice with pickled veggies and avo Tofu stir fry vegetarian tacos also keto by the way My Fourth of July coconut flour cake keto sugar free and gluten-free and of course dairy free!!! Seared salmon Salad There you have it folks just a few of my favs!!!","['https://qph.cf2.quoracdn.net/main-thumb-587106307-50-dvjrvnvpmcxwynhwflaocgexucbuvlls.jpeg', 'https://qph.cf2.quoracdn.net/main-qimg-83b42118324a4698360c2aa3870b5cea-lq', 'https://qph.cf2.quoracdn.net/main-qimg-69c566866b58b61f3a0e4076b011a20d-lq', 'https://qph.cf2.quoracdn.net/main-qimg-8fcc3647ea7d4c760f2e602b7e74e028-lq', 'https://qph.cf2.quoracdn.net/main-qimg-d8d402518a45cc8bb6bf15ab8e14d0f7-lq', 'https://qph.cf2.quoracdn.net/main-qimg-b6e5bbf651390f79accea06a54443548-lq', 'https://qph.cf2.quoracdn.net/main-qimg-0730f56150b95e04827208b6bc47ec92-lq', 'https://qph.cf2.quoracdn.net/main-qimg-21ffb53b3c0b5f1a7da91883058d7e45-lq', 'https://qph.cf2.quoracdn.net/main-qimg-c423e4bffb8bc64776c78311e52f4470-lq', 'https://qph.cf2.quoracdn.net/main-qimg-6512616fd030f43117a2f9a4e16b7cb5-lq']"
Do you have a picture of food that’s too cute to eat?,"Adore these … Marry a layer of coconut cream with coloured agar agar jelly, the striking blue naturally from the juice of the Butterfly Pea flower (Clitoria ternatea; ‘bunga telang’ in Malay). Photo: shiokmanrecipes.com Malaysia has some creative bakers; how do you cut the adorable ‘unicorns’? ‘Pops Malaya’ popsicles are cute. Made from fresh fruits and natural ingredients, in milk-based, dairy-free or vegan flavours - ice cool to melt your heart. (Photo: Courtesy of Pops Malaya) Malaysian pastry chefs created history. They were crowned champions at the ‘Coupe du Monde de la Pâtisserie’ (World Pastry Cup 2019) in Lyon, France – the first time Malaysia bagged the top spot in the 30-year competition. Pretty cool. Dim sum for kids are adorable, with tempting creations to drool over.","['https://qph.cf2.quoracdn.net/main-thumb-211391435-50-ltkvnyjkzafzpgncaknfqmgupbphgamt.jpeg', 'https://qph.cf2.quoracdn.net/main-qimg-3a040d72f0da9209e14fdfef2fac0358-lq', 'https://qph.cf2.quoracdn.net/main-qimg-93c63f13c22fd64c098057a18d51d020-lq', 'https://qph.cf2.quoracdn.net/main-qimg-d816da92304e3b196eca7ebb0cd62383-lq', 'https://qph.cf2.quoracdn.net/main-qimg-d87592d7fc963f781428122f37d5fe8d-lq', 'https://qph.cf2.quoracdn.net/main-qimg-cc8e97ec708db7f669f394d1281b12e0-lq']"
What is the most South Indian thing ever?,"Most of the South Indian lives are incomplete without coconuts. 3. Using coconuts in South Indian cuisines. Coconut milk, Coconut water, Coconut Chutney, Coconut rice, Pumpkin Coconut curry, grated coconut used in Sambar (lentil-based vegetable stew) and also used for garnishing some dishes, etc. 4. Coconut leaves are still used for decorating wedding mandap (covered structure with pillars) or used for decorating houses for certain occasions. Banana leaves are also used along with coconut leaves. I love coconuts. Image source: Subha's
Dairy
Free
Treats Thanks for A2A Kishan Panaganti Badrinath (ಕಿಶನ್ ಪಾನಗಂಟಿ ಬದ್ರಿನಾಥ್)","['https://qsf.cf2.quoracdn.net/-4-images.new_grid.profile_default.png-26-688c79556f251aa0.png', 'https://qph.cf2.quoracdn.net/main-qimg-e37c02bd63edeeb1f2067d8d4837a1ae.webp', 'https://qph.cf2.quoracdn.net/main-qimg-e757b3e639fdc1ae6f84418db5eccaa4.webp', 'https://qph.cf2.quoracdn.net/main-qimg-acb611209a86f9c8636cc4f5ab43c330.webp', 'https://qph.cf2.quoracdn.net/main-qimg-6f2de978347ca8560d8b8f4bc176bf84.webp', 'https://qph.cf2.quoracdn.net/main-qimg-81803413c94bd7bf5cb7277df6c9a393.webp']"
Do teachers judge parents by the lunches they send their kids to school with?,"My son is allergic to milk (NOT lactose-intolerant) so he took his lunch every day. He often had things like burritos or tacos, made at home, and always fruit and a juice box or a bottle of water. One teacher complained that he never had cheese or yogurt like most kids and I had to tell her to check his file. Those things could kill him! She assured me that everybody needed some dairy every day and reminded me that lactose free foods were available. I told my son not to eat anything she wanted to add to his lunch and referred her to the school nurse who was familiar with his reaction to dairy. It was life-threatening! The nurse reported that the woman didn't believe her either. Fortunately, my son remembered well the time his father bought him a hot dog that had milk in the bun. He ate hot dogs at home (dairy-free) all the time and hubby just never thought to check. Fortunately they got to me pretty quickly, I had the epi-pen and inhaler, and he threw up most of it as well. He never wanted to feel that way again, in pain and struggling to breathe! He wouldn't eat anything not approved by Mom. Saved his life more than once, I am sure.",['https://qph.cf2.quoracdn.net/main-thumb-ti-1720245-50-kqlffakorwbroqenqwwnhzjavzptdzhn.jpeg']
"Is Mayo dairy free? If yes, what are some brands?","Far from it. Mayo has a strong dairy industry especially in the limestone country in the east where grass grows thick and lush in the mild, moist climate. Western Mayo is less agrifriendly and mostly blanket bog. (if you meant mayonnaise, which is named after Mahón the capital of the Spanish island of Menorca and thus nothing to so with Ireland, and it doesn’t take an initial capital, then you should have said. If you make it yourself as you should you use oil, egg yolk and either vinegar or lemon juice, so it’s dairy free. Branded jars of mayonnaise also contain all kinds of preservatives, colourings and other additives which are alien to proper food, so I won’r recommend any. Especially not those that look suspiciously lacking in egg yolks. Hell, man, I wouldn’t touch those with a bargepole!)",['https://qph.cf2.quoracdn.net/main-thumb-157837977-50-vyuuoochvygzrikhmounhbgfmpequiut.jpeg']
How do I make a dairy‐free pizza?,"There’s no trick to making diary free pizza, since the only dairy is the cheese on top. You can easily substitute a vegan non-diary cheese product for regular cheese. There’s a wide variety of them out there and I’ve noticed a few melt well, almost as well as real cheese. I’ve eaten a few of Whole Foods dairy free pizza and it was pretty good. I wouldn’t choose it pizza with real mozzarella cheese on top, but it wasn’t bad.",['https://qph.cf2.quoracdn.net/main-thumb-155693629-50-mwuemuonlfhdjkgjhuaihvpdymekeufl.jpeg']
"What, if any, changes did you notice after going dairy free?","I noticed that my coffee didn’t taste nearly as good. There were reasonable substitutes for most recipes, but not for cheese. I happen to really love good cheese, so I started craving cheese. Whipped cream and frosting were also not nearly as good when made with dairy substitutes (it’s hard to get the texture without the frosting getting too sweet). But other than that, my life didn’t change much. No health benefits that I noticed. A few years later, we treated my son’s anaphylactic allergy to dairy, and I was able to re-introduce dairy to my diet again. Hooray! High-quality dairy products make a small but significant contribution to the quality of my life.",['https://qph.cf2.quoracdn.net/main-thumb-106657835-50-roaemcrczxwjdlxrmvkuwbfyhemktxgs.jpeg']
What diet change did you make that drastically improved your health?,"I was always considered as a ""good kid"" or an ""ideal kid"" because- 1. I was good at academics (Yes! Good old days). 2. I was very obedient (which I still am). 3. I used to DRINK MILK EVERYDAY WITHOUT CREATING ANY SCENE. Opposite was the case with my brother. He still hates drinking milk, and I still love it. Years passed by, and that milk with Bournvita got replaced by milk with coffee powder. I consumed 2 mugs of coffee everyday (which might be unhealthy i know), with PURE MILK, period. Then, from last 2-3 years, I actually started feeling unhealthy all the time. I started feeling like something is wrong with my system. I got my blood tested, and everything was fine (by god’s grace). But I was still feeling that there’s something wrong happening with my body. I started eating dinner early, as I thought it could be the possible reason for me not feeling good from inside. And honestly speaking, it actually helped me! I started feeling a little better, but I still felt there’s something wrong with me. I stopped consuming coffee. Again started drinking Bournvita (haha). Nothing changed. I just started feeling sleepy at some parts of the day. Then, I stopped adding sugar to my coffee. Maybe, the nasty sugar was making me feel that way. I agree that sugar is bad, but it actually didnt show any significant wonders once I stopped consuming it (just sharing my honest experience). After searching/reseraching a lot on Google, I thought maybe this was because I was consuming 2 mugs of milk everyday. Then, I questioned myself: How is this even possible? I have been having two glasses of milk since I was a child. This couldnt do bad to me. I ALWAYS THOUGHT THAT WHAT I'M ADDING TO MY MILK COULD BE THE REASON, BUT I NEVER CONSIDERED ""MILK"" AS THE REASON. After a lot of self control, I absolutely stopped consuming milk. And mind you guys, for me, it has been the best decision I have ever taken in my life. I started drinking black coffee, and I was feeling so energetic, and so good that I cannot even express this thing in words. I started missing milk badly. I thought of considering nut milk as an alternative, but oh my god you guys! It was so expensive. Then, after watching a lot of YouTube videos, I started making my own Nut milk coffee which tastes very similar to the coffee made from milk (I can promise that). Eg: This (picture above) is the coffee I made with cashews. Then, eventually I even started making more dairy free things like cheesey dishes, ice cream and chocolate cake. I am not considering MILK as BAD, as I havent done enough research on it. I was just sharing my experience, so that if you are one of the person who's having similar issues can give this a try! I even want to share some more things with my Quora fam like: But as this answer has already been so long, I might write a PART- 2 of it. I hope you guys will read that too. I can promise you, part 2 is going to be more intresting than this answer (if I ever write that in future). Please let me know if you're interested in reading that answer, which is going to be filled with experiences, recipes, and bad jokes. Andddd please don't forget to follow me, and indirectly help me pay my bills, lol bye! Edit: I've written the part 2 of this answer. Please visit my profile to check it.","['https://qph.cf2.quoracdn.net/main-thumb-624111105-50-ejkdgabbpysqmoheutindfygbwedxcyf.jpeg', 'https://qph.cf2.quoracdn.net/main-qimg-1b72a3b9497ed581b1c1bc49be4e5a37-lq', 'https://qph.cf2.quoracdn.net/main-qimg-dd8ec79d8b8675e254cf1b188d60b628-lq', 'https://qph.cf2.quoracdn.net/main-qimg-949539993ffce9ede2c0d6451bac86e7-lq', 'https://qph.cf2.quoracdn.net/main-qimg-1609b85ec3ec3709b27726a7fe071e94-lq', 'https://qph.cf2.quoracdn.net/main-qimg-b67221f27c8ca271d21068c09c4b899c-lq', 'https://qph.cf2.quoracdn.net/main-qimg-301a725f72e0ecdd4c5396f3a3ac83be-lq', 'https://qph.cf2.quoracdn.net/main-qimg-9fd8ac288374eb6e7ecb353261d9f5a1-lq']"
"Teenagers, what do you eat in a day?","I have seen this a lot lately and I decided I would have a go at this. Disclaimer: I am a 15-year-old boy and I am well aware that my diet is not the most healthy. Breakfast (9:30am–10:00am): I usually don’t have breakfast on weekday mornings because it takes too much time and I can’t be bothered. On the weekend I will have breakfast roughly around 9 am but sometimes later. On weekends, I will probably have one of these: BLT Bacon, Egg and BBQ sauce sandwich Chocolate chip pancakes made by yours truly. Lunch (12:40–1:20): I sometimes skip lunch on the weekends because I forget about it since I am still full from breakfast. On weekdays I have to make my own lunch for school. Our school cafeteria has lots of options but due to my allergies, (milk and strawberries) and my anaphylaxis (peanuts and tree nuts) I find it easier to pack my lunch. I pack it the night before so I can savor a few more minutes of sleep in the mornings. I usually pack two of these with this tuna: I always eat them separately because I hate when wet foods and dry foods touch or dry foods getting soggy. Snacks (9:45–10:00) : On weekends, I don’t usually don’t snack very much. Although sometimes I bake brownies or cookies which I will snack on with some tea in the afternoon. Although, at my school, we have a snack break during the day so I often will bring some snacks: Strawberries. I need to stop eating strawberries since I am intolerant but they are so tasty. Banana bread Milo cereal. Like this but without the milk (I got some of this when I went to Australia) That’s usually all for snacks. I don’t eat all of these all at once I will have one of these options a day. I might eat some chips when I get home from school since I am likely hungry. Not the full bag. Dinner: Dinner is the only meal of the day that I always eat. Sometimes I sit at the table with my family while we eat dinner and sometimes we have dinner in front of the TV. Today I am eating lasagna (dairy-free): Although often when I eat at my dad’s house we will have: nachos (dairy-free) Pizza Carbonara (with dairy-free cream) At my mum’s house, I rarely ever have dessert. If I do it will be a piece of white chocolate. Although at my Dad’s house, we make dairy-free, nut-free, strawberry free delicious icecream. sometimes I eat these: Monte Carlos. I probably shouldn’t eat them since they may contain peanuts, tree nuts, and milk. They also CONTAIN strawberry jam. Again they are really tasty so I can’t stop myself from eating them sometimes. Okay, that is all I eat in a day. As you can see I am horrible at keeping my allergies/intolerances in check. Something to work on I guess. I also drink about 4–5 bottles of water a day and I have to walk to the train every day and then get off a bit before my school and walk the rest of the way to school. I have to do this coming back from school too. I walk around a lot at school since the campus is HUGE. I also go bike riding about 3-4 times a week. Stay Safe Ollie xxx","['https://qph.cf2.quoracdn.net/main-thumb-532911129-50-lkykffqbrtltfuyqzmopbemimidgkexh.jpeg', 'https://qph.cf2.quoracdn.net/main-qimg-7434df34a3a67dd1789210bb4686037c-lq', 'https://qph.cf2.quoracdn.net/main-qimg-c21d90f19085a307da85701afe87607b-pjlq', 'https://qph.cf2.quoracdn.net/main-qimg-611d30c00640bc6871e41f1eb447ab4c-pjlq', 'https://qph.cf2.quoracdn.net/main-qimg-bbc9abd117709e4a23e5c6f87eae6f24-lq', 'https://qph.cf2.quoracdn.net/main-qimg-8c3eb5db1aa34631357943a8073d57c4', 'https://qph.cf2.quoracdn.net/main-qimg-81eb4866ad70f300750cd24f2b75ea1a-lq', 'https://qph.cf2.quoracdn.net/main-qimg-93ab7f85207d5b227030b8491b222efb-lq', 'https://qph.cf2.quoracdn.net/main-qimg-7149b89ebf2f8471696f528fd23cda41-lq', 'https://qph.cf2.quoracdn.net/main-qimg-4be924e3a7f983c19ac39068f0c2ce43-lq', 'https://qph.cf2.quoracdn.net/main-qimg-417db3e57018b746347558de371a07f2-lq', 'https://qph.cf2.quoracdn.net/main-qimg-3584d04391aa8b524749a9a6a4d934c9-lq', 'https://qph.cf2.quoracdn.net/main-qimg-a1d9df2359fe98516db1e0733dcd94ec-lq', 'https://qph.cf2.quoracdn.net/main-qimg-762f7910cfded6f33fbcefa7f24d8a9a-lq', 'https://qph.cf2.quoracdn.net/main-qimg-bc7a5a7071cfaab9b10f9d96203ea30b-lq', 'https://qph.cf2.quoracdn.net/main-qimg-41f18226c037022d8ffcbf80eb6d86e2-lq']"
