question,answer,image_urls
What does Rey get in return for scraps she sells on Jakku?,"Rey receives a ration pack in exchange for the scraps she sells. Each package contains polystarch, which is like instant-bread, and veg-meat. Veg-meat is a likely a meat substitute, kind of like...",['https://qph.cf2.quoracdn.net/main-thumb-923790952-50-anvgzyqoouyhqacsjpobpkrdwztwvfny.jpeg']
Is it possible to feed carnivores like wolves or leopards with fake meat?,"If you mean plant-based meat-substitute no, the leopards would die, and the wolves would be unhealthy. If you mean lab-grown meat cultured from real muscle cells yes, sure, provided it has plenty of taurine in it it should be fine.",['https://qph.cf2.quoracdn.net/main-thumb-120909277-50-hadyiygrjfwsoojfclxzanmbvgifznhx.jpeg']
Why don't people eat more plant-based meat?,"BECAUSE . . . I’ve tried Beyond Meat and other alternative-meat substitutes, it tasted like crap! As long as there’s meat availabl...",['https://qph.cf2.quoracdn.net/main-thumb-212311707-50-ymzntrejaeormjbesydjngliglyvphyx.jpeg']
What are your thoughts on Beyond Meat's products? Do you prefer other veggie burgers/meat substitutes? Why or why not?,"I’ve eaten Impossible burgers, since I sell them at my restaurant. I think they’re okay, nothing special. I will choose a beef patty over a meat substitute patty every time, but I won’t refuse to eat one if you give it to me. Their flavor doesn’t remind me of beef, it’s something of its own. Like I said, they taste okay, but they aren’t delicious. I prefer a good grain based veggie burger over a meat substitute burger because they can have better flavor. There are plenty of lousy veggie burgers out there, but good ones aren’t hard to find. I believe the best no-meat burger option is a big fat grilled portobello mushroom cap. One of those is better than either a veggie burger or a meat substitute burger. They have great texture, are all natural and taste great. Mushrooms soak up flavor, so basting them with a tasty vinaigrette while grilling is the way to go. A grilled portobello cap is awesome on top of a beef burger as well. It’s the best choice whenever you want a mushroom burger because unlike sliced bottom mushrooms, the big portobello cap won’t fall out as you eat the burger. I’m not a big fan of processed foods and imitation meats are the pinnacle of processed foods in my opinion. Eat natural, eat a big old mushroom.",['https://qph.cf2.quoracdn.net/main-thumb-155693629-50-mwuemuonlfhdjkgjhuaihvpdymekeufl.jpeg']
Are chicken of the woods poisonous?,"Chicken of the Woods is a type of wild fungus that is edible, although it needs to be cooked before eating. It is often used as a meat substitute in stews or stir fries, as it tastes like chicken. Despite this, do not eat this if its host tree is a Yew tree, as the fungus might then retain some of the tree’s toxic alkaloid properties. Never consume any kind of wild fungus unless you are absolutely sure of the type and properties of the host tree and the genus of the fungus. Very often, poisonous fungi can easily be mistaken for edible ones.","['https://qph.cf2.quoracdn.net/main-thumb-1129610027-50-gywhxnikdwgljdqsuetkffbrsulaiugt.jpeg', 'https://qph.cf2.quoracdn.net/main-qimg-caf9f9bd10639baa50d0314bec14a340-lq']"
What would you do if I ask you kindly to please stop eating pork because it’s forbidden by God?,"Forget not eating pork due to religious reasons, if the extreme vegans get their way we won't be eating any meat at all, just rabbit food and meat substitutes. Roast pork. Pork substitute. God help us if extreme vegans get their way.","['https://qph.cf2.quoracdn.net/main-thumb-1350965868-50-xsijvnskehrstborpexlczikuxfhjpkb.jpeg', 'https://qph.cf2.quoracdn.net/main-qimg-7662c40a2b50dec5cfccfb2d916306cd', 'https://qph.cf2.quoracdn.net/main-qimg-bcee40a7152a8356910e2b1ef4b4b664']"
Have you tried any of the growing number of plant-based meat substitutes? What did you think?,"I’ve tried a few. Most were utterly disgusting - even my rats wouldn’t eat them. But there were some beetroot-based sausages which were very nice. They didn’t taste like meat, but they were very pleasant and a good alternative to regular sausages.",['https://qph.cf2.quoracdn.net/main-thumb-120909277-50-hadyiygrjfwsoojfclxzanmbvgifznhx.jpeg']
Why is avocado a good meat substitute?,No. Avocado only has 1.8 grams of protein per 100 grams. If you want a meat substitute here are a list of options.,['https://qph.cf2.quoracdn.net/main-thumb-956390-50-s5VGN0mUs71cQeEapdJdPhcq41EyfbTA.jpeg']
How do you feel about meat substitutes like Beyond/Impossible Meat?,I like meat. I don’t need to go “beyond” that.,['https://qph.cf2.quoracdn.net/main-thumb-63748930-50-autedcpijvhxolyuzsqtctsgcxqgibaa.jpeg']
Is tofu supposed to taste like meat?,"No, tofu is its own thing. Nobody expects it to taste like meat. The reason some people think of it as a meat substitute is because it can be used as a major protein source for vegans and vegetarians. A lot of people dislike tofu because they find it bland and tasteless- which it is if you don’t know how to use it. Tofu, if its made well, has good texture and absorbs flavour well. If you Cook it right, it can be delicious. Even a lot of people who think they don’t like tofu make an exception for spicy Chinese and Korean dishes that marinate and sauce it to perfection.",['https://qph.cf2.quoracdn.net/main-thumb-135320241-50-hcwqcvhmsxytmcdmomnjcfxrrbqwwazr.jpeg']
How do I make tofu taste like beef?,"The first thing that popped in my head was “Why would you want to do that?” There are certain types of high-quality tofu that can be eaten on its own, without any condiments. You will find that these sorts of tofu have a very pleasant, very distinctive taste. However, if that’s too hardcore for you, there are many dishes that feature both tofu and beef. (•‿•) (I own none of the pictures below) Although I much prefer the pork version (I very rarely eat beef), you can also make mapo tofu with beef. Adjust the spice level according to your preference: You can also braise beef and tofu together for a longer period in a claypot: You can also simmer it sukiyaki-style. Simple and elegant: As you can see, many Asian cuisines don’t treat tofu as a meat substitute. We eat tofu and meat together. Tofu is tofu.
Meat is meat.
And they taste great together. I was a bit surprised when I was living in the US and saw people eating tofu as a meat substitute. One day, I should look into how that came about.","['https://qph.cf2.quoracdn.net/main-thumb-88372920-50-dcspzisqnqmqutwqbivsobwfmtkleyvd.jpeg', 'https://qph.cf2.quoracdn.net/main-qimg-874600b9c33250f7a97b9abfceb5a7aa-lq', 'https://qph.cf2.quoracdn.net/main-qimg-43c697dfbcfe48890f7ad7005470e3fa-lq', 'https://qph.cf2.quoracdn.net/main-qimg-320edf9febb26489afd32f2adb20ec83-lq']"
What kind of food can I eat instead of meat?,"If you do not like meat there is game, fish, fowl, and poultry. Poka poka!",['https://qph.cf2.quoracdn.net/main-thumb-1677519392-50-jvxzfnxcodgjolnzhgraxurjjuwvgnhd.jpeg']
What's the weirdest way your fast food order got messed up?,"So, when I was growing up, my parents went through a vegetarian phase. Now, we were not especially wealthy, and at that time there was not a great variety of vegetarian fast food options, so while travelling, we’d usually stop by Taco Bell, and get whatever and substitute beans for the meat. This is not important, except that I developed a taste for Taco Bell’s refried beans. Specifically, a double decker taco with no meat, substitute beans. A few months back, went to get two double deckers, no meat, substitute beans. Despite that coming up on the screen exactly like that, I got two double deckers, without a speck of beans on them, meat between the shell and tortilla and all that. It was horrid. Pure salt… Same place gives me sweetened iced tea instead of unsweetened like… 90% of the time too…",['https://qph.cf2.quoracdn.net/main-thumb-25569822-50-MUbC0gkwjGMlXmrMfiDiyvKuuy7AWGaW.jpeg']
How does the Beyond Meat burger compare to the typical packaged grocery store veggie burgers?,"Apples and oranges. Beyond Meat and Impossible burger were created with the goal of imitating meat. Veggie burgers are a meat substitute. You could never mistake a veggie burger for a meat burger but the others are very similar in color, flavor and texture. They obviously aren’t beef but a good imitation. For the record, I'm not a fan of either Beyond Meat or Impossible Burger. Both taste funky to me.",['https://qph.cf2.quoracdn.net/main-thumb-155693629-50-mwuemuonlfhdjkgjhuaihvpdymekeufl.jpeg']
What smells are overwhelming to you?,"1. Marijuana. I absolutely despise the smell of it. It’s a sickly intoxicating cloud of fermented ass-mold.
2. Women’s perfume. Unless it is the lightest, vaporous, most wispy thing, it probably smells like cat urine. And that might not even be wrong. I was at a diner the other day and some woman sat down two chairs over. The smell of her perfume absolut...",['https://qph.cf2.quoracdn.net/main-thumb-142690651-50-efhlvmaxyofhpinfvmmfzbulsskzqokh.jpeg']
"Can't we all eat ""fake"" meat? It tastes just the same as ""regular"" meat.","A couple of weeks ago I had an aged flank steak at a restaurant. it was delicious. I’ve yet to see any meat substitute that can mimic the texture, taste or aroma of a good piece of meat. You can get things like sausage, where most of the flavor comes from spices, that do a reasonable job if imitating meat if you aren’t used to eating actual meat. But do a side by side comparison and the difference is obvious. I know whereof I speak. I was a committed vegetarian for ten years, a vegan for three and still eat a mostly vegetarian diet. I make a mean seitan meatloaf, and my family almost can’t tell the difference between my seitan meatballs and the ones made with beef. We actually did a taste test once, just to find out. So far, the only meat substitute I’ve found that’s as good or better than the real thing is Lightlife Deli Bologna, which is delicious. It’s not pink, like the stuff I remember eating as a kid, but it tastes better, and it has less fat and no cholesterol. It’s like a whole other animal. There are some tasty vegan and vegetarian meatlike options out there, but only someone who never eats meat would think they taste like the real thing.",['https://qph.cf2.quoracdn.net/main-thumb-127566208-50-brivfufuidbtszrvopbedgmujjnxvgac.jpeg']
With the rapidly increasing human population will we all be compelled to become vegans as it will be too inefficient to raise animals for food?,"The population isn’t rapidly increasing. It’s slowing down. Besides that, nobody can predict what people will do. What’s on the horizon is stuff like vat grown meat, genetically modified plants that have whole proteins, genetically modified yeast to make dairy and just new formulas in making meat substitutes. Even then, nobody knows what people in the future will do.",['https://qph.cf2.quoracdn.net/main-thumb-1846186-50-rwvhcvdmlnihqfnskjusdupjtbdwmaca.jpeg']
What is the most universally loved food across all age groups and cultures? What makes this food so good for everyone to enjoy it as well as they do?,"Chicken. Almost everyone loves and eats chicken, and almost every culture has recipes for chicken. It’s a cheap, versatile meat, and chickens are relatively easy and inexpensive to raise. Plus, it’s delicious. People who abstain from other kinds of meat for religious reasons eat chicken. Even vegetarians and vegans want and strive to make their meat substitutes taste like chicken. Pork is still the most-consumed meat in the world (populous China leads the world in pork consumption per capita, with pork comprising 70% of the meat consumed in that country) but chicken is far more popular internationally and interculturally and is steadily catching up to the “other white meat”.","['https://qph.cf2.quoracdn.net/main-thumb-936837039-50-bufjwuadyjdvxmhumwmmsnozkxewbexz.jpeg', 'https://qph.cf2.quoracdn.net/main-qimg-85e2d0d883be103d8bc148f5d331cd65', 'https://qph.cf2.quoracdn.net/main-qimg-3507d61fee972bca874f880bf57aa4dd-pjlq', 'https://qph.cf2.quoracdn.net/main-qimg-0eddedcec742640b970333bb2beeb955-lq', 'https://qph.cf2.quoracdn.net/main-qimg-3217f1d85846c1bb7f027788e472054c-lq']"
What impact has the emergence of plant-based meat alternatives like Beyond Meat and Impossible Foods had on the traditional meat industry?,"As yet, very little. Plant based meat substitutes are still too expensive. I actually like a Beyond Burger and have some in the freezer, but if I go to my butcher and ask him to grind up a coarse hamburger meat out of brisket, it will be less expensive than the Beyond Burger. When the impact comes, and it will, it will be primarily in the Supermarket and in processed meat products. Anything bought by the sort of people looking for inexpensive food. I have seen industry projections predicting that 25 % of the meat market will be meat substitutes like vegetables, tempeh, quorn, seitan. 40 % will be alternative meats like lab grown meat, insects and insect protein and the last 35 % will be a high end market for more expensive real meat. If you want to see the future, check out the cheapest supermarket sausages. Most likely they will contain less than 20 % meat and that meat will most likely be this:","['https://qph.cf2.quoracdn.net/main-thumb-753846643-50-gckhqlkuyoixlyiujzkqyeiybxnrkokz.jpeg', 'https://qph.cf2.quoracdn.net/main-qimg-8bb02f7520181e10699b9d17a7ce89f9.webp']"
How are CHOP protesters making things worse for the USA?,"Worse? Are you kidding?
They are making it better, and not only for the USA but for the whole developed world (the only exception being citizens and businesses of Seattle) Now people can see what happens when ‘progressive’ idiots are in charge of something. The whole thing looks like a part of Somalia, and the revolutionaries started begging for handouts from day one. Despite the ‘autonomy’.
In case someone had doubts that progressives can turn a prosperous place into a shithole in no time - any doubts are now gone. This CHOP-CHAZ thing should be kept for as long as possible, and Antifa, BLM and the likes should be forced to stay in for a month, just to get an idea what they are really advocating for. It will have a profound educational effect. Later, the disaster area can be transformed into an open-air museum of marxism and “progressive” ideas.
Nobody is going to return there anyway, let’s use it for something positive. It may become a popular international tourist destination and we can even make money. Not everyone can go to Venezuela to see what marxism is, CHOP-CHAZ is as close as it gets. Who will provide vegan meat substitutes when the communist dream comes true and the whole country becomes one big CHAP?
Mexico? Canada?
I think they should start building walls right away. How are CHOP protesters making things worse for the USA?","['https://qph.cf2.quoracdn.net/main-thumb-112791077-50-vvhefgihoqlyzxrlvydxvkclgzaqfxnh.jpeg', 'https://qph.cf2.quoracdn.net/main-qimg-1757b9e3b88044f5510ce6c020655ddb-pjlq', 'https://qph.cf2.quoracdn.net/main-qimg-095f50ce0ba8a157562315d757435427-pjlq']"
